IPMC |  All Questions ,,,,,,,,,,,,,,,
No.,Questions,Answer A,Answer B,Answer C,Answer Correct,Feedback,Questions Ar,Answer A Ar,Answer B Ar,Answer C Ar,Answer Correct Ar,Chapter,Process Group,Free Quiz,Exam No.
376,"William is the project manager of the civil Project. He and the project team have identified a risk event in the project with a high probability of occurrence and the risk event has a high-cost impact on the project. William discusses the risk event with Virginia, the primary project customer, and she decides that the requirements surrounding the risk event should be removed from the project. The removal of the requirements does affect the project scope, but it can release the project from high-risk exposure. What risk response has been enacted in this project? ",Mitigation ,Transference ,Acceptance ,Avoidance ,"Avoid. Where the level of overall project risk is significantly negative and outside the agreed-upon risk
thresholds for the project, an avoid strategy may be adopted. This involves taking focused action to reduce
the negative effect of uncertainty on the project as a whole and bring the project back within the thresholds. [PMBOK 6th edition, Page.445]",,,,,,Risk,Executing,,1
373,"Risk event should be removed from your project. The removal of the requirements does affect your project scope, but it can release the project from high-risk exposure. What risk response has been enacted in this project? ",Mitigation ,Transference ,Acceptance ,Avoidance ,"Risk avoidance is when the project team acts to eliminate the threat or protect the project from its impact. Avoidance may involve changing some aspect of the project management plan or changing the objective that is in jeopardy in order to eliminate the threat entirely, reducing its probability of occurrence to zero. Examples of avoidance actions may include removing the cause of a threat, extending the schedule, changing the project strategy, or reducing scope. [PMBOK 6th edition, Page 443 ] ",,,,,,Risk,Planning,,4
541,A local contractor is unable to meet a delivery date. The project team did not anticipate this new threat to the supply of the product. Importing this product will cost the project twice the price that the local vendor charges. What should the project manager use to fund this effort? ,Contingency reserve ,Project budget reserve ,Risk response reserve ,Management reserve ,"The Project manager will use the management reserve to fund this effort because its unidentified risk occurred. [PMBOK 6th edition, Page 246, 405] ",,,,,,Risk,Monitor & Control,,1
183,"You are a project manager in an construction project. You and your team planned, identified, analyzed risks and planned risk responses for your project. During the implementation phase, an unidentified risk occurs. How will you fund to face this risk? ",Cost baseline ,Contingency Reserve ,Risk Mitigation ,Management Reserve ,"Management Reserve used to fund unidentified risks when occurs, management reserves are intended to address the unknown-unknowns that can affect a project. While Contingency reserve used to fund identified risks when occurs. [PMBOK 6th edition, Page 449] ",,,,,,Risk,Executing,,2
245,"Mustafa is a project manager of the civil project for your organization. In this project, you are currently performing quantitative risk analysis. The tool and technique you are using is a simulation where the project model is computed many times with the input values chosen at random for each iteration and Outputs representing the range of possible outcomes for the project. The goal is to create a probability distribution from the iterations for the project schedule. What technique will you use with this simulation? 
","Pareto charts 
","Expected Monetary Value 
",Cause and effect diagram ,"Monte Carlo Technique 
","Quantitative risk analysis uses a model that simulates the combined effects of individual project risks
and other sources of uncertainty to evaluate their potential impact on achieving project objectives. Simulations
are typically performed using a Monte Carlo analysis. [PMBOK 6th edition, Page.433]",,,,,,Risk,Planning,,3
276,"To create a probability distribution from the iterations for the project schedule. What technique will you use with this simulation? 
","Pareto charts 
","Expected Monetary Value 
","Cause and effect diagram 
","Monte Carlo Technique 
","Computer software is used to iterate the quantitative risk analysis model several thousand times. The input values (e.g.. cost estimates, duration estimates, or occurrence of probabilistic branches) are chosen at random for each iteration. Outputs represent the range of possible outcomes for the project. [PMBOK 6th edition, Page 433] ",,,,,,Risk,Planning,,5
24,You are working in a matrix organization and managing a construction project. The functional manager moved some resources you need from your project to another project. What should you do next? ,Update stakeholder engagement plan,Escalate this problem to the sponsor,Complete the project without this resources,Negotiate with functional manager to assign a new resources ,"In matrix organizations environment the project manager should effectively negotiate and influence others who are in a position to provide the required team and physical resources for the project. [PMBOK 6th edition, Page 329.",,,,,,Resource,Executing,,3
482,You are working in a matrix organization and managing a project. The human resource manager transferred some resources you need from your project to another project without take in consideration the effect of this action on your project. What should you do next? ,Escalate this problem to the sponsor ,Complete the project without this resources ,Update Stakeholder Engagement plan ,Negotiate with Functional Manager to assign a new resources ,"In matrix organizations environment The project manager should effectively negotiate and influence others who are in a position to provide the required team and physical resources for the project. [PMBOK 6th edition, Page 329,330].",,,,,,Resource,Executing,,5
562,"As project manager managing project, in which of the following inputs for initiation processes? ",Expert judgment ,Requirements traceability matrix ,Project management plan ,Organizational process assets ," Organizational process assets are inputs for developing the project charter process and identify the stakeholder process. [PMBOK 6th edition, Page 79].",,,,,,Integration,Initiating,,1
521,"You are a project manager for a website design development project. An issue appears on a project and one of your project team remember that this issue has occurred before, but cannot remember the solution. Which of the following options should you refer first to find the solution? ",Checklist,Issue management procedure,Organizational Strategy ,Organizational process assets ," The organizational process assets include Issue and defect management procedures defining issue and defect controls, issue and defect Identification and resolution, and action item tracking. Issue and defect management databases) containing historical issue and defect status. issue and detect resolution, and action item results. [PMBOK 6th edition, Page 94].",,,,,,Integration,Executing,,3
177,"During an audit, it was noted that only 20 percent of completed projects had documented lessons learned. What should the project manager have updated to document this? ",Quality process Assets. ,Stakeholder responsibility matrix. ,Change control documentation. ,Organizational process assets ,"The lessons learned is updated in the Organizational process Assets . [PMBOK 6th edition Page, 39]",,,,,,Quality,Executing,,5
536,"You have just been moved onto a project that is well into the project implementation phase. You then realize that no stakeholder register exists for the project. Since you are new to the organization, you want to ensure that you use its templates for documents. Therefore, you search for a template for a stakeholder registered in the: ",Enterprise environmental factors ,Stakeholder management plan ,Project management plan ,Organizational process assets ,"Organizational process assets are inputs in Identify Stakeholders process and include Stakeholder register templates. [PMBOK 6th edition, Page 510] ",,,,,,Stakeholder,Executing,,4
430,"After contract sign-off , a project manager has been informed him that that the vendor has a bad reputation for delaying the materials delivery and not meet the time agreed in  the contract. To ensure the vendor's compliance, what should the project manager do? ",Cancel the current contract and select another vendor ,Conduct a make-or-buy analysis to verify vendor reliability ,Insist on a firm fixed price contract (FFP) with the vendor ,Perform periodic inspection of the vendor's work and progress. ,"To ensure the vendor's compliance, the project manager should perform periodic inspection of the vendor's work and progress to take the corrective action as per the contract at the right time. [PMBOK 6th edition Page, 498].",,,,,,Procurement,Monitor & Control,,3
508,"After contract sign-off, a project manager learns that the supplier has a reputation of not delivering according to the contract. To ensure the vendor's compliance, what should the project manager do? ",Cancel the current contract and select another vendor ,Conduct a make-or-buy analysis to verify vendor reliability ,Insist on a firm fixed price contract (FFP) with the vendor ,Perform periodic inspection of the vendor's work and progress. ,"To ensure the supplier's compliance, the project manager should perform a periodic inspection of the vendor's work and progress to take the corrective action as per the contract at the right time. [PMBOK 6th edition Page, 498].",,,,,,Procurement,Monitor & Control,,5
208,"You often has to deal with change requests to expand or reduce the project scope. Changes in project scope impact a variety of project documents. In this context, approved change requests can impact all of the following except: 
","Cost Estimates 
","Project Management Plan 
","Project Deliverables 
","Project Charter 
","Changes can impact the Project Management Plan, Cost Estimates, and Project Deliverables. Frequent change requests to the project scope would not impact the Project Charter. [PMBOK 6th edition, Page.170]",,,,,,Scope,Monitor & Control,,4
282,"Martin is a project manager in an infrastructure project. After finalizing all activities for the project, which of the following documents will help him in this process? 
","Stakeholder Register 
","Verified deliverables 
","Probability and Impact Matrix 
","Project Charter 
","Project Charter Key inputs in Close project or phase process because of The project charter documents the project success criteria, the approval requirements, and who will sign off on the project. [PMBOK 6th edition, Page 124] ",,,,,,Integration,Closing,,1
209,"During the Kick- off meeting, the CEO did not accept a project management plan. What should you refer to persuade the CEO? 
","Cost benefit analysis 
","Project management plan 
","SOW Bottom of Form 
","Project charter 
","Project charter includes High-level requirements, Project purpose, High-level project description and boundaries, High-level risks, Summary budget, Key Stakeholder list, and the project charter is the key input in develop project management plan process. so you refer to charter to persuade the stakeholders. [PMBOK 6th edition, Page 81] ",,,,,,Integration,Planning,,3
86,"Nancy's project is in execution. Nancy is currently planning to execute the Manage Stakeholder Engagement process. She has gathered the project documents such as the issue log, the change log, the stakeholder register, the lessons learned register and the necessary organizational process assets. Which of the following is a key input to this process that is still missing from this list?",Expert Judgment,Communication Skills,Change requests,Project Management Plan,"The missing input is the project management plan. [PMBOK 6th edition, Page 523]",,,,,,Stakeholder,Executing,,2
143,"You have recently been assigned to lead a project that is halfway into execution. The project has many stakeholders, and you are trying to determine how to engage them effectively. Which of the following will best help you in this effort? ",Scope Management Plan ,Project Charter ,Change Management Plan ,Project Management Plan,"The scenario show that you are using Manage Stakeholder Engagement process which is concerned with communicating and working with stakeholders to meet their needs, address issues, and foster involvement. One of the inputs to this process is the project management plan which provides guidance regarding stakeholder communications, risk management, change management, and stakeholder engagement. Specifically, the stakeholder engagement plan contains information on how to manage stakeholder expectations this helping to determine how to engage the stakeholders effectively. [PMBOK 6th edition, Page 523]",,,,,,Stakeholder,Executing,,1
55,"Which document defines how the project is to be executed, monitored, controlled, and closed?",Project scope,Project charter,Project management information system,Project management plan,"The project management plan defines how the project is executed, monitored, controlled, and closed. [PMBOK 6th edition, Page 83]",,,,,,Integration,Planning,,4
257,"You and your team are currently developing the project charter and are looking for valuable inputs you can use to complete it using all of the following inputs in the ""Develop Project Charter process"" except? 
","Business case 
","Enterprise environmental factors 
","Agreements 
","Project management plan 
","Business case, Agreements, and Enterprise environmental factors are Inputs of developing the project charter process [PMBOK 6th edition, Page75] ",,,,,,Integration,Initiating,,2
233,"You have been hired for a new project, and the project charter has already been approved. What documentation is needed to prepare for the kick-off meeting? 
","Quality management plan 
","Scope management plan 
","Business case 
","Project management plan 
","The Project management plan approval is needed before the kick-off meeting....  [PMBOK 6th edition, Page.86]",,,,,,Integration,Planning,,5
403,"You have recently been assigned as a project manager to manage a project that was terminated five months ago because of funding related issues, but which has since been re-initiated. You want to find out the exact reasons for the termination of the project. You also want to know which deliverables were produced from the terminated project. Which of the following documentation should you review to obtain this information? ",Operational and support documents ,Historical Database ,"Final Product, Service, or Result ",Project or phase closure documents ,"Project or phase closure documents, consisting of formal documentation that indicates completion of the project or phase and the transfer of the completed project or phase deliverables to others, such as an operations group or to the next phase. During project closure, the project manager reviews prior phase documentation, customer acceptance documentation from the Validate Scope. [PMBOK 6th edition, Page 128].",,,,,,Integration,Closing,,2
442,You also want to know which deliverables were produced from the terminated project. Which of the following documentation should you review to obtain this information? ,Operational and support documents ,Historical Database ,"Final Product, Service, or Result ",Project or phase closure documents ," Project or phase closure documents, consisting of formal documentation that indicates completion of the project or phase and the transfer of the completed project or phase deliverables to others, such as an operations group or to the next phase. During project closure, the project manager reviews prior phase documentation, customer acceptance documentation from the Validate Scope process, and the agreement (if applicable) to ensure that all project requirements are completed prior to finalizing the closure of the project. If the project was terminated prior to completion, the formal documentation indicates why the project was terminated and formalizes the procedures for the transfer of the finished and unfinished deliverables of the cancelled project to others.. [PMBOK 6t1 edition, Page 128) ",,,,,,Integration,Closing,,4
347,"The project manager is busy with an important milestone, and after that, he have to deliver a deliverable to the client. Since the client is known for his difficult behavior, management is worried whether the client will accept the deliverable. Therefore, they tell him to check the product acceptance criteria again before calling the client. What document will the PM look at to get this information.?",Control Chart,WBS dictionary,WBS,Project scope statement ,"In the project scope statement, you can see the product acceptance criteria. [PMBOK 6th edition, Page154]",,,,,,Scope,Planning,,4
120,"You are a project manager who takes over a project during the execution phase. You would like to know more about project deliverables, the work required to complete those deliverables, project constraints, and assumptions. Which of the following documents would be MOST useful? ",Work Breakdown Structure (WBS) ,Activity List ,Requirements Documentation ,Project Scope Statement ,"The project manager should refer to the project scope statement as it captures all the details related to the project scope including the product acceptance criteria, scope description, project deliverables, constraints, and assumptions. [PMBOK 6th edition, Page 154] ",,,,,,Scope,Executing,,5
101,Which of the following business documents that Justify why the project is authorized? ,Project management plan,Project charter,Scope statement of work,Business case ,"The business need and the cost-benefit analysis are contained in the business case to justify and establish boundaries for the project. [PMBOK 6th edition, Page 77] ",,,,,,Integration,Initiating,,3
